"timestamp","device","seqnumber","event","temperature1","temperature2","bmetemp","bmehum","bmepress","adc1","adc2","adc3","battery","devicetypeid","data","time","__dt"
"2022-07-12T21:38:40+01:00","1B29854","1757","1","28","21","21","46","993","1","1","3","27","5eb9311be833d96c2857fd8b","018079792e5d0101031b","1657654720","2022-07-12 00:00:00.000"
"2022-07-13T23:48:58+01:00","1B29854","1859","1","26","23","23","50","990","1","1","3","27","5eb9311be833d96c2857fd8b","017e7b7b325a0101031b","1657748938","2022-07-13 00:00:00.000"
"2022-07-12T12:55:26+01:00","1B29854","1723","1","47","29","38","18","995","3","1","5","27","5eb9311be833d96c2857fd8b","0193818a125f0301051b","1657623326","2022-07-12 00:00:00.000"
"2022-07-13T07:54:23+01:00","1B29854","1797","1","18","20","20","61","992","2","1","4","27","5eb9311be833d96c2857fd8b","017678783d5c0201041b","1657691663","2022-07-13 00:00:00.000"
"2022-07-11T14:05:18+01:00","1B29854","1634","1","31","24","30","31","993","3","1","5","27","5eb9311be833d96c2857fd8b","01837c821f5d0301051b","1657541118","2022-07-11 00:00:00.000"
"2022-07-13T09:57:44+01:00","1B29854","1805","1","31","30","35","26","992","2","1","5","27","5eb9311be833d96c2857fd8b","018382871a5c0201051b","1657699064","2022-07-13 00:00:00.000"
"2022-07-12T13:26:16+01:00","1B29854","1725","1","49","30","39","15","995","3","1","5","27","5eb9311be833d96c2857fd8b","0195828b0f5f0301051b","1657625176","2022-07-12 00:00:00.000"
"2022-07-11T17:25:23+01:00","1B29854","1647","1","36","30","35","24","992","3","1","5","27","5eb9311be833d96c2857fd8b","01888287185c0301051b","1657553123","2022-07-11 00:00:00.000"
"2022-07-13T06:21:58+01:00","1B29854","1791","1","15","16","15","72","993","2","1","4","27","5eb9311be833d96c2857fd8b","01737473485d0201041b","1657686118","2022-07-13 00:00:00.000"
"2022-07-11T19:43:55+01:00","1B29854","1656","1","31","26","30","32","992","3","1","5","27","5eb9311be833d96c2857fd8b","01837e82205c0301051b","1657561435","2022-07-11 00:00:00.000"
"2022-07-14T03:39:46+01:00","1B29854","1874","1","17","16","16","80","989","2","1","3","27","5eb9311be833d96c2857fd8b","0175747450590201031b","1657762786","2022-07-14 00:00:00.000"
"2022-07-11T16:08:25+01:00","1B29854","1642","1","32","26","28","35","992","3","1","5","27","5eb9311be833d96c2857fd8b","01847e80235c0301051b","1657548505","2022-07-11 00:00:00.000"
"2022-07-11T19:13:09+01:00","1B29854","1654","1","33","26","30","32","992","3","1","5","27","5eb9311be833d96c2857fd8b","01857e82205c0301051b","1657559589","2022-07-11 00:00:00.000"
"2022-07-13T23:02:49+01:00","1B29854","1856","1","27","24","24","44","989","2","1","3","27","5eb9311be833d96c2857fd8b","017f7c7c2c590201031b","1657746169","2022-07-13 00:00:00.000"
"2022-07-13T13:48:47+01:00","1B29854","1820","1","42","30","33","23","991","2","1","4","27","5eb9311be833d96c2857fd8b","018e8285175b0201041b","1657712927","2022-07-13 00:00:00.000"
"2022-07-12T06:14:42+01:00","1B29854","1697","1","7","10","9","100","994","2","1","4","27","5eb9311be833d96c2857fd8b","016b6e6d645e0201041b","1657599282","2022-07-12 00:00:00.000"
"2022-07-13T15:21:13+01:00","1B29854","1826","1","41","34","41","10","990","2","1","4","27","5eb9311be833d96c2857fd8b","018d868d0a5a0201041b","1657718473","2022-07-13 00:00:00.000"
"2022-07-12T02:39:15+01:00","1B29854","1683","1","12","12","11","93","994","2","1","4","27","5eb9311be833d96c2857fd8b","0170706f5d5e0201041b","1657586355","2022-07-12 00:00:00.000"
"2022-07-13T13:18:02+01:00","1B29854","1818","1","48","32","40","15","991","2","1","4","27","5eb9311be833d96c2857fd8b","0194848c0f5b0201041b","1657711082","2022-07-13 00:00:00.000"
"2022-07-13T10:28:34+01:00","1B29854","1807","1","33","30","32","29","992","2","1","5","27","5eb9311be833d96c2857fd8b","018582841d5c0201051b","1657700914","2022-07-13 00:00:00.000"
"2022-07-12T05:28:32+01:00","1B29854","1694","1","8","9","8","100","994","2","1","4","27","5eb9311be833d96c2857fd8b","016c6d6c645e0201041b","1657596512","2022-07-12 00:00:00.000"
"2022-07-11T15:53:01+01:00","1B29854","1641","1","33","29","34","27","992","3","1","5","27","5eb9311be833d96c2857fd8b","018581861b5c0301051b","1657547581","2022-07-11 00:00:00.000"
"2022-07-14T10:20:14+01:00","1B29854","1900","1","30","25","28","39","988","2","1","3","27","5eb9311be833d96c2857fd8b","01827d8027580201031b","1657786814","2022-07-14 00:00:00.000"
"2022-07-12T03:25:25+01:00","1B29854","1686","1","10","11","10","97","994","2","1","4","27","5eb9311be833d96c2857fd8b","016e6f6e615e0201041b","1657589125","2022-07-12 00:00:00.000"
"2022-07-12T11:07:35+01:00","1B29854","1716","1","37","28","34","24","995","2","1","4","27","5eb9311be833d96c2857fd8b","01898086185f0201041b","1657616855","2022-07-12 00:00:00.000"
"2022-07-13T13:02:37+01:00","1B29854","1817","1","47","33","41","14","991","2","1","4","27","5eb9311be833d96c2857fd8b","0193858d0e5b0201041b","1657710157","2022-07-13 00:00:00.000"
"2022-07-13T08:09:48+01:00","1B29854","1798","1","19","21","21","55","992","2","1","5","27","5eb9311be833d96c2857fd8b","01777979375c0201051b","1657692588","2022-07-13 00:00:00.000"
"2022-07-12T20:52:32+01:00","1B29854","1754","1","31","25","25","35","993","2","1","3","27","5eb9311be833d96c2857fd8b","01837d7d235d0201031b","1657651952","2022-07-12 00:00:00.000"
"2022-07-14T09:18:37+01:00","1B29854","1896","1","26","26","27","42","989","2","1","3","27","5eb9311be833d96c2857fd8b","017e7e7f2a590201031b","1657783117","2022-07-14 00:00:00.000"
"2022-07-13T16:38:11+01:00","1B29854","1831","1","45","35","40","14","990","2","1","4","27","5eb9311be833d96c2857fd8b","0191878c0e5a0201041b","1657723091","2022-07-13 00:00:00.000"
"2022-07-13T18:56:41+01:00","1B29854","1840","1","38","34","37","16","989","2","1","4","27","5eb9311be833d96c2857fd8b","018a868910590201041b","1657731401","2022-07-13 00:00:00.000"
"2022-07-14T09:34:03+01:00","1B29854","1897","1","28","27","30","37","989","2","1","4","27","5eb9311be833d96c2857fd8b","01807f8225590201041b","1657784043","2022-07-14 00:00:00.000"
"2022-07-13T08:56:03+01:00","1B29854","1801","1","23","23","24","48","992","2","1","5","27","5eb9311be833d96c2857fd8b","017b7b7c305c0201051b","1657695363","2022-07-13 00:00:00.000"
"2022-07-13T10:43:57+01:00","1B29854","1808","1","34","31","33","27","992","2","1","5","27","5eb9311be833d96c2857fd8b","018683851b5c0201051b","1657701837","2022-07-13 00:00:00.000"
"2022-07-14T06:29:06+01:00","1B29854","1885","1","16","17","16","83","989","2","1","3","27","5eb9311be833d96c2857fd8b","0174757453590201031b","1657772946","2022-07-14 00:00:00.000"
"2022-07-12T11:23:00+01:00","1B29854","1717","1","39","28","35","24","995","2","1","4","27","5eb9311be833d96c2857fd8b","018b8087185f0201041b","1657617780","2022-07-12 00:00:00.000"
"2022-07-13T07:23:34+01:00","1B29854","1795","1","17","18","18","66","992","2","1","4","27","5eb9311be833d96c2857fd8b","01757676425c0201041b","1657689814","2022-07-13 00:00:00.000"
"2022-07-13T04:49:35+01:00","1B29854","1785","1","15","15","14","74","993","2","1","4","27","5eb9311be833d96c2857fd8b","017373724a5d0201041b","1657680575","2022-07-13 00:00:00.000"
"2022-07-11T19:59:17+01:00","1B29854","1657","1","30","25","28","36","992","2","1","4","27","5eb9311be833d96c2857fd8b","01827d80245c0201041b","1657562357","2022-07-11 00:00:00.000"
